City,Station,Date,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3
Gwalior,"Phool Bagh, Gwalior - Mondelez Ind. Food",20-11-2023 12:00:00,234,149,44,33,,4,
Indore,"Chhoti Gwaltoli, Indore - MPPCB",20-11-2023 12:00:00,242,137,23,65,87,35,7
Jabalpur,"Gupteshwar, Jabalpur - JMC",20-11-2023 12:00:00,86,71,14,49,26,38,6
Jabalpur,"Marhatal, Jabalpur - MPPCB",20-11-2023 12:00:00,130,115,7,57,37,35,2
Jabalpur,"Suhagi, Jabalpur - JMC",20-11-2023 12:00:00,99,101,13,30,21,11,4
Katni,"Gole Bazar, Katni - MPPCB",20-11-2023 12:00:00,112,105,19,32,57,47,5
Maihar,"Sahilara, Maihar - KJS Cements",20-11-2023 12:00:00,59,63,13,25,,14,
Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",20-11-2023 12:00:00,73,143,46,72,15,60,8
Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",20-11-2023 12:00:00,198,133,17,66,40,16,3
Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",20-11-2023 12:00:00,168,153,12,,,33,
Sagar,"Civil Lines, Sagar - MPPCB",20-11-2023 12:00:00,171,111,10,27,53,26,4
Sagar,"Deen Dayal Nagar, Sagar - MPPCB",20-11-2023 12:00:00,59,157,9,54,,22,
Satna,"Bandhavgar Colony, Satna - Birla Cement",20-11-2023 12:00:00,46,32,NA,32,73,19,
Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",20-11-2023 12:00:00,106,145,75,88,23,49,3
Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",20-11-2023 12:00:00,246,157,19,51,85,24,7
Ahmednagar,"Tarakpur, Ahmednagar - MPCB",20-11-2023 12:00:00,69,110,12,30,70,67,3
Akola,"Ramdaspeth, Akola - MPCB",20-11-2023 12:00:00,64,113,18,33,47,35,8
Amravati,"Shivneri Colony, Amravati - MPCB",20-11-2023 12:00:00,86,102,28,22,54,36,2
Amravati,"Shri Shivaji Science College, Amaravati - MPCB",20-11-2023 12:00:00,137,122,44,42,54,40,2
Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",20-11-2023 12:00:00,134,90,10,20,77,32,1
Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",20-11-2023 12:00:00,165,133,22,,36,40,2
